,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
"10778,27609841219c073289823046f0b4f48a6687fcaf,1.0,1.0,4.0,1.0,1.0,1.0,1995,4,26,42.0,2013-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10782,de7c6730238b1083848975569855b68698aa317b,1.0,1.0,4.0,1.0,1.0,1.0,1995,7,12,42.0,2013-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10783,4ee36dd9724c258ab6da5367c3fcfc8e32cb89ba,2.0,1.0,4.0,1.0,1.0,3.0,1994,9,27,42.0,2012-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10784,2705a477d7acf5c89a1f56c345131a2ad7ffb5f9,5.0,2.0,3.0,1.0,1.0,1.0,1993,11,15,42.0,2013-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10786,548399ee5d6a6f29afd4f62537d1c5884ec2d6f7,1.0,4.0,3.0,3.0,1.0,1.0,1987,9,9,42.0,2013-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10787,42568292f42507eb8f7e02da8fa8a091133ac909,1.0,1.0,4.0,1.0,1.0,1.0,1992,4,12,42.0,2011-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10791,2044e6674f928cc66c4a4adc8f6c03522c32c014,5.0,2.0,3.0,1.0,1.0,1.0,1990,7,11,42.0,2016-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10799,8c54ad71ef135a9fb556291045822ad91bd56a84,1.0,4.0,3.0,3.0,1.0,1.0,1986,12,27,41.0,2013-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10803,4cb45aaab0d22dbd2999c0cf95a4fb693acfb7c8,5.0,2.0,3.0,1.0,1.0,1.0,1993,7,7,42.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10804,e0f16a796fcd3ae1ca7daaa866361a9ff008a7bc,1.0,1.0,4.0,1.0,1.0,1.0,1989,7,29,,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10805,385c5cf21ada4caec419339c06862ad0981343e7,1.0,1.0,4.0,1.0,1.0,1.0,1996,6,24,42.0,2015-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10806,f9fa0c12e491d15a06ec06fb48a3169abb791577,1.0,1.0,4.0,1.0,1.0,1.0,1990,1,27,41.0,2008-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10810,f34007499508759a3cbe629941ef76ea7195b985,2.0,1.0,4.0,1.0,1.0,1.0,1981,12,17,53.0,2013-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10821,a185c8c40c6f89190a98ecc888427ad996140228,1.0,1.0,4.0,1.0,1.0,1.0,1994,6,2,42.0,2014-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10822,3c14439397a3dfb39dc76950b36ad98e5cd50435,1.0,1.0,4.0,1.0,1.0,1.0,1997,9,10,42.0,2016-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10826,0751ad2628dd1c177f796d328f592668b47a4a51,5.0,1.0,3.0,1.0,1.0,1.0,1996,5,24,42.0,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10827,a9a71a0f9048ac3263acce0a3a2d15f2c42f689e,2.0,1.0,4.0,1.0,1.0,1.0,1992,9,6,42.0,2013-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10829,ba5eba0332a90b92f2298f33c9f88595d9e8191f,1.0,1.0,4.0,1.0,1.0,1.0,1985,12,18,42.0,2011-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10830,7f072a56bf5f390a851289d325d264155c2d9253,5.0,1.0,3.0,1.0,1.0,0.0,1992,6,9,,2011-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10831,6e87f3ece4ad1a042e2a2cfcee7bcd17521f137a,5.0,2.0,3.0,1.0,1.0,1.0,1991,9,27,42.0,2010-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10832,82bce9410403f0715bec1bd975687ca69591881c,2.0,1.0,3.0,1.0,1.0,1.0,1996,9,20,42.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10833,55e3961cdb79721e1def1e4b5af215f679aa775c,1.0,1.0,4.0,1.0,1.0,1.0,1996,1,7,42.0,2016-01-01,,,0.0,,""Engenharia, produção e construção"""
"10835,2f831f774e6874971283f0afe70cf7196e499b18,1.0,1.0,4.0,1.0,1.0,1.0,1994,10,27,42.0,2014-01-07,,0.0,1.0,,""Engenharia, produção e construção"""
"10836,a0b576f9f84b36311bd56314ee4b0efb77932da5,1.0,4.0,3.0,3.0,1.0,1.0,1998,11,13,42.0,2016-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"10837,f8131e3f7151c1299a9f0bd4f3f00c44a3b456c4,5.0,2.0,3.0,1.0,1.0,1.0,1995,4,25,42.0,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10838,45931fe3069ed8bfc86d8e53da549a4ebcd01b00,5.0,2.0,3.0,3.0,1.0,1.0,1974,8,19,35.0,2006-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10839,a3869d3b5c8c01d18b12cb65112c527ec21505e2,5.0,2.0,1.0,1.0,1.0,1.0,1994,6,29,42.0,2012-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10844,b619b178ecbd3b37eed9e792396a2cbd8f5723f2,1.0,1.0,4.0,1.0,1.0,3.0,1996,7,14,35.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10846,d0a38939248f08a8c56d243052b0e0478dfc01e9,1.0,1.0,4.0,1.0,1.0,1.0,1995,3,26,41.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10847,3234e24b31c48c7f0d823d24723d0f8792a65e33,1.0,1.0,4.0,1.0,1.0,1.0,1987,1,7,35.0,2006-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"10852,e8e42e0b8f491a24adce31ad4abee03df07c8d4d,5.0,2.0,3.0,1.0,1.0,1.0,1994,7,22,42.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10853,57fdedf029748137086392540ca3a5c7ab7e4569,1.0,1.0,4.0,1.0,1.0,1.0,1993,5,5,42.0,2015-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10854,7ce74b3d58458308e25687074e144c1c069ff616,5.0,2.0,1.0,1.0,1.0,1.0,1997,9,11,42.0,2015-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10857,baad00a637e7eccce9d917333b651ebeda82a738,5.0,1.0,3.0,1.0,1.0,0.0,1991,4,29,42.0,2011-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10861,4b7a26ea35767dce7b3068bcbce487fdbeaa77d2,2.0,1.0,4.0,1.0,1.0,1.0,1992,11,23,42.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10863,5de6792f5c723e808094b5ced839a93700278049,4.0,3.0,3.0,1.0,1.0,1.0,1986,2,27,,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10866,05078d37f9ab8450424f3c9be1b908fc20565b4f,1.0,4.0,4.0,3.0,1.0,1.0,1998,3,10,42.0,2016-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10868,3f55aabea96a5348c3812cc47b6680760b4327f8,5.0,2.0,3.0,1.0,1.0,1.0,1991,5,21,35.0,2009-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10873,8c833c4269020809bd203b837bf9469509174e68,1.0,1.0,4.0,1.0,1.0,1.0,1997,10,10,41.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10875,fc26d12d72cad77cbe060a02d4452d8d8d126fcf,5.0,2.0,3.0,1.0,1.0,4.0,1991,6,2,43.0,2009-01-07,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10877,5fb78d7b8277f944f302f46d838f87f0385da09c,1.0,1.0,4.0,1.0,1.0,1.0,1996,3,27,35.0,2015-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10878,ce54001508fbcea6e0df0545a3b3fff4d9017ceb,1.0,4.0,2.0,1.0,1.0,3.0,1996,4,13,43.0,2016-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"10883,9b4cb1e1ea81f2145c0d3ca2628b1ec0913c7b5f,1.0,4.0,1.0,1.0,1.0,3.0,1991,3,3,,2015-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10884,ddb6c8f937c6679ccd1c5b653cc762e77cf3b1ad,1.0,1.0,4.0,1.0,1.0,1.0,1996,4,6,41.0,2015-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10887,76b2c5a52f5549f2572e99f9c95a67510e3283bc,5.0,2.0,3.0,3.0,1.0,1.0,1982,1,3,42.0,2004-01-07,0.0,,0.0,0.0,""Engenharia, produção e construção"""
"10897,a3c1b8eaae52f9d1db4cdc4fc0b7f2ac2725b6e8,4.0,3.0,3.0,1.0,1.0,1.0,1994,3,29,,2012-01-07,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10899,70d3883392d49d0437c26679e4530384d7c55b20,4.0,3.0,3.0,1.0,1.0,1.0,1993,9,6,,2015-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10902,1d713efc831e0c7bbf65795505379175193dfb45,2.0,1.0,4.0,1.0,1.0,0.0,1993,11,12,42.0,2012-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10907,f9eae87d6e73d5c68974bd82af079a970fe734dd,1.0,1.0,4.0,1.0,1.0,1.0,1997,12,14,42.0,2015-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10910,934815f1cccaa1adbd77678833f2252ad5e9cf32,5.0,2.0,3.0,1.0,1.0,1.0,1994,3,5,42.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10913,08bf5df6065e16662365dad4f3a73a891cdc1b7a,1.0,1.0,4.0,1.0,1.0,1.0,1994,8,16,42.0,2012-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10918,bcee01dcf81270cedd53b65488510cc1060bb966,2.0,1.0,4.0,1.0,1.0,1.0,1991,5,2,42.0,2012-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10919,c2b6f812824de5fb399740103af7b58e50ea4424,1.0,1.0,4.0,1.0,1.0,1.0,1989,5,15,42.0,2013-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10923,1111a8b108fd8ff1b29d7e80fe1275b9f64b4f36,1.0,1.0,4.0,1.0,1.0,1.0,1993,12,27,42.0,2011-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10924,cf30e8a3379106d1193712c018f7f4869a6e69ea,5.0,3.0,3.0,3.0,1.0,1.0,1997,9,7,41.0,2016-01-01,0.0,,0.0,0.0,""Engenharia, produção e construção"""
"10925,4aea3842d737b387e92f13f536cdfbf9c9d3c916,5.0,2.0,3.0,1.0,1.0,1.0,1984,1,19,42.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10928,82768c78d9cf43d7373ea81d5a4bac0a1433baf3,1.0,1.0,4.0,1.0,1.0,1.0,1995,4,8,35.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10932,5f5cb003d1b5afabd26b3271c13dff9ee6350d55,2.0,1.0,3.0,1.0,1.0,1.0,1996,7,12,42.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10934,f80c1560450daab2983d3a54c1537bcb20403a6b,5.0,1.0,3.0,1.0,1.0,1.0,1992,6,13,42.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10937,bd5ab175f29891f217c61fc94bee0dffcea9a284,1.0,4.0,3.0,1.0,1.0,3.0,1998,6,2,42.0,2016-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10938,5d70261366d949ec634f96b137b0cb107f2cdda4,2.0,1.0,4.0,1.0,1.0,1.0,1989,8,29,42.0,2008-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10940,fc7376ca64ca00150ee84b83856679a27e6a6683,1.0,1.0,4.0,1.0,1.0,1.0,1994,3,20,42.0,2012-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10945,46d360f5b66a64098b5ea607c5b2f6c3219b5eff,5.0,2.0,3.0,1.0,1.0,1.0,1995,3,10,43.0,2013-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10946,f91ed6214f76ade9fecfbe5108dab36d14fb386e,5.0,2.0,1.0,1.0,1.0,3.0,1995,4,29,41.0,2013-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10949,171dc13b2854dd3a23c94f8a3c667168796be0e9,5.0,2.0,1.0,1.0,1.0,1.0,1996,1,29,42.0,2014-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10953,e641b28ab466b5c1fd25b1736ea1ef3b61b74c2f,5.0,2.0,3.0,1.0,1.0,1.0,1982,2,13,42.0,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10954,1203a441331cd6bf89bd81f787e777e3f5d490af,1.0,1.0,4.0,1.0,1.0,1.0,1992,10,3,42.0,2011-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10955,dc67a41ee8ef842a6b7aa997a91063d0a606965b,1.0,1.0,4.0,1.0,1.0,1.0,1996,8,18,42.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10957,edb2f360de549dfd35d9c02e10ca6ca0d4aa3232,2.0,1.0,4.0,1.0,1.0,1.0,1996,4,30,41.0,2015-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10958,36901f0bb070e8377bc1799f090c081857cff625,5.0,2.0,1.0,1.0,1.0,1.0,1992,10,14,42.0,2014-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10960,ec2bd024ea3ac5348293f0af063ea4bdf7016064,1.0,4.0,3.0,3.0,1.0,1.0,1989,3,28,42.0,2014-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"10966,efdb5f88dcab38da27584dcf78d9b132b211da0c,1.0,4.0,3.0,3.0,1.0,0.0,1998,12,24,42.0,2016-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10968,16c8e22b184c8b0951ccdb22a3619bb82c6e0c62,4.0,3.0,3.0,1.0,1.0,1.0,1991,6,4,,2011-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10976,5f6a50426c6341f04e98b714e98dfa3129a73821,2.0,1.0,4.0,1.0,1.0,1.0,1995,11,8,42.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10979,43e641e867f64fdcb253625bf1d7cea4a8913074,5.0,2.0,3.0,1.0,1.0,1.0,1996,8,20,50.0,2014-01-07,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10981,21c70c6adb8b5d90d10e41bc7644125ed9ba7d35,1.0,1.0,4.0,1.0,1.0,1.0,1987,10,3,42.0,2014-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10983,0c5279b41c0418c76c2770c164ad9861408147f5,1.0,4.0,4.0,1.0,1.0,3.0,1996,11,12,,2014-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"10985,a01d9889151bdaab586ef3a16cae7cbb9c051d11,5.0,1.0,3.0,1.0,1.0,0.0,1995,4,4,42.0,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10987,03df3fa22f9e4406a7103d2dc1923033c72880dd,4.0,3.0,3.0,1.0,1.0,1.0,1992,11,11,,2011-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10988,ee8c83608fd070a4fb168594a3cb40c50acab273,2.0,1.0,4.0,1.0,1.0,1.0,1997,3,17,42.0,2015-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"10996,6d14a6a3ad81da4d3ede5bee7830b098b9df4df3,1.0,1.0,4.0,1.0,1.0,1.0,1991,11,27,43.0,2011-01-07,,0.0,1.0,,""Engenharia, produção e construção"""
"10997,467e4cab8906409d63cf893c9682b21d69bab5a7,1.0,1.0,4.0,1.0,1.0,3.0,1995,12,12,42.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10998,24ceca3517ac38b0f63022f3d3a8fc62bb59c48a,1.0,1.0,4.0,1.0,1.0,1.0,1990,5,22,42.0,2011-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"10999,f285e787ce0efd4c26366c354ff7000c01642a28,1.0,1.0,4.0,1.0,1.0,1.0,1993,1,21,42.0,2014-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11012,179d0c514fa702da9d29036bd95c87cb508bf54e,5.0,2.0,1.0,1.0,1.0,1.0,1995,9,26,41.0,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11013,732231d2cb69b7afa8c2d4126e2214a49b104789,1.0,1.0,4.0,1.0,1.0,1.0,1994,4,1,52.0,2012-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11016,7556347a99e60712f5188f9434b3d7249ad0c437,5.0,2.0,3.0,1.0,1.0,1.0,1993,7,20,42.0,2012-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11017,18739b8b84ba857253e813dd2e2e906d9f2c27df,4.0,3.0,3.0,1.0,1.0,1.0,1989,8,11,,2014-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11018,93e418b08026bbc4eae3038374bfffe5265f7928,4.0,3.0,3.0,1.0,1.0,1.0,1995,6,19,,2013-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11019,aa59418ebd2eb72aeb79a184cc67657da7b86cdf,5.0,1.0,1.0,1.0,1.0,1.0,1997,12,29,42.0,2016-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11020,375891965dea516f3de9d1e288921f092cd2c1c7,1.0,1.0,4.0,1.0,1.0,1.0,1995,5,9,42.0,2014-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11029,38d8bd30a7ff496962a931e6743c5531685a26b2,1.0,1.0,4.0,1.0,1.0,1.0,1994,3,9,42.0,2013-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11032,f5eeaf0d4b377bf340e12a9b858d765c9a8d944a,1.0,4.0,4.0,1.0,1.0,2.0,1987,10,25,42.0,2012-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"11036,f39873716bba34fcd2bb10b0939ac2b6643e6809,1.0,1.0,4.0,1.0,1.0,1.0,1992,1,22,42.0,2014-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11044,bb4e86ed53438b84971706727846eb29aaca032b,5.0,2.0,3.0,1.0,1.0,1.0,1991,10,2,42.0,2011-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11047,b0e0e82ac29bfe73e3d56ab305b76aa1c9dffb8e,5.0,2.0,3.0,1.0,1.0,1.0,1995,4,24,42.0,2014-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11048,5899ad2738dae8d84fc8afb94c227ad3153860e7,4.0,3.0,3.0,1.0,1.0,2.0,1992,8,9,,2014-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11049,e302fa95fb9c27291c8614b15070d1a42076e9ac,5.0,1.0,3.0,1.0,1.0,0.0,1993,7,8,42.0,2013-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11051,ce3603f8f03a0d1ed0b60398fffa8e7f34593d7f,2.0,1.0,3.0,1.0,1.0,1.0,1994,11,8,42.0,2012-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11052,af806e5397bdd728a4a25bdde6bb215844aa0686,1.0,4.0,4.0,3.0,1.0,1.0,1993,5,14,42.0,2015-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"11057,b23a06731ee53499ea39c1e8210e5fa45cba6f4e,5.0,1.0,3.0,1.0,1.0,0.0,1995,7,26,41.0,2013-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11060,44023c4f11d40bca04f93b25b29a81ed92971064,1.0,1.0,4.0,1.0,1.0,1.0,1995,3,16,42.0,2014-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11061,58e43c1cb66cc5b07238bde43d9d01806065276e,5.0,2.0,3.0,1.0,1.0,1.0,1996,7,4,41.0,2014-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11064,1e91e3b9ba8e2409d1d19697ad3113539952ac7b,2.0,1.0,4.0,1.0,1.0,2.0,1998,6,4,42.0,2016-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11065,a50d8d4e0a7d31a13431b624545a0059e31300e3,1.0,4.0,4.0,1.0,1.0,0.0,1993,1,6,42.0,2015-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"11068,7152f30c6b9feae65c5ca5c11a0ba44c678b5c07,5.0,2.0,3.0,1.0,1.0,1.0,1996,1,31,41.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11072,d2b37de5e209b5bbd0338bfb407d760194d8f0db,1.0,1.0,4.0,1.0,1.0,1.0,1997,3,28,42.0,2014-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11074,01a5728ffd940df806a91da9c04beed6e907fd5a,1.0,4.0,4.0,3.0,1.0,3.0,1996,10,13,42.0,2016-01-01,,,1.0,0.0,""Engenharia, produção e construção"""
"11076,33f97d35bf3eb8040e5a8e63a07dc768e7e0988d,1.0,4.0,4.0,1.0,1.0,4.0,1994,6,17,41.0,2013-01-01,,,1.0,0.0,""Engenharia, produção e construção"""
"11079,80dbf89b09722ef0b776764ce03905b15d3aa5bf,1.0,4.0,4.0,1.0,1.0,1.0,1994,1,9,42.0,2014-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"11088,19ac2a8c26f981b49ff7a43f79cbb4288403686d,1.0,1.0,4.0,1.0,1.0,1.0,1997,12,17,42.0,2016-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11090,f6de7e2139032806f729a8962c6eb6d63401545c,5.0,2.0,3.0,1.0,1.0,1.0,1991,2,21,42.0,2013-01-07,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11095,d7c6a9c830b9b09e59cab90a4085eeb8e3f1381a,5.0,2.0,3.0,1.0,1.0,1.0,1993,2,9,42.0,2013-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11106,eab26fedc80b5fefad8b6fc3f5ed633bd121d87e,1.0,4.0,4.0,3.0,1.0,1.0,1998,10,6,43.0,2016-01-01,,,1.0,0.0,""Engenharia, produção e construção"""
"11116,a9988e4ce7b58823f0d6a247468eacfc5eeedd70,5.0,2.0,3.0,3.0,1.0,6.0,1982,11,26,42.0,2005-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11117,2b3a79e7358e65dd5f0281b1c693ade18c61e1de,1.0,1.0,4.0,1.0,1.0,1.0,1993,7,5,42.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11118,71746524418962101e140d420b034a9611f8614b,1.0,4.0,3.0,3.0,1.0,1.0,1997,1,13,42.0,2015-01-01,,,1.0,0.0,""Engenharia, produção e construção"""
"11123,a7a3c3039a0a64845a689732cf32670db40de972,1.0,4.0,4.0,3.0,1.0,0.0,1989,9,27,43.0,2015-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"11126,82aca56396b016f7485cb4b9000380a662a14869,1.0,1.0,4.0,1.0,1.0,1.0,1996,1,18,42.0,2013-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11128,06bf54f2e82282a6c1461b1652dc96f0dde0e5b6,1.0,1.0,4.0,1.0,1.0,3.0,1996,10,30,52.0,2015-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"11129,c79429b56bb29eaadce63fee7a7c737bdaf3c58e,1.0,4.0,3.0,3.0,1.0,1.0,1995,7,27,42.0,2016-01-01,,,1.0,0.0,""Engenharia, produção e construção"""
"11134,b970e0085be95cc769029b54776b649e8658a170,5.0,2.0,3.0,1.0,1.0,3.0,1982,7,20,23.0,2014-01-07,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11136,4e71a9179eac6e88fb5f86a12c1a2f4e214e7b43,4.0,3.0,3.0,1.0,1.0,3.0,1987,8,12,,2015-01-07,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11138,a1b623f1264c16e662960ca62b7444431d3aaab8,1.0,1.0,4.0,1.0,1.0,1.0,1998,10,26,41.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11141,bf17ea74200420064958ca9f35767a03b006998a,1.0,1.0,4.0,1.0,1.0,1.0,1993,6,4,42.0,2011-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11142,46aa195d63563d0ec727a906fcae0f239ebb9224,5.0,2.0,1.0,1.0,1.0,3.0,1993,6,7,35.0,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"11144,0ff360df29af44ddad603022f6ee565122cbb5a4,2.0,1.0,4.0,1.0,1.0,1.0,1990,9,8,42.0,2009-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11151,dc2a21214a377df703514a5d96553109803928a7,2.0,1.0,4.0,1.0,1.0,1.0,1995,8,29,42.0,2014-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11152,bb01664629f81268b93171ee93fcdf97063123f5,1.0,4.0,3.0,3.0,1.0,2.0,1995,3,14,42.0,2013-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"11153,028c58927ca607d531656323770c42dd3ac54d5d,1.0,1.0,4.0,1.0,1.0,1.0,1992,9,9,42.0,2010-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11155,937b5a8f691a2a0cb1e2ce4db00262d6e98248e4,1.0,4.0,3.0,3.0,1.0,1.0,1995,9,2,42.0,2013-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"11161,6bd12d5af6d43197b23b81803870addd55c929a7,1.0,1.0,4.0,1.0,1.0,1.0,1993,9,28,42.0,2011-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"11163,6c536e3f05086fcdd8fc4c0b4b968dcbb515090b,1.0,1.0,4.0,1.0,1.0,1.0,1992,3,14,42.0,2010-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"11164,5d11ae3c0bc4b76214aaf8970670e660299bb6a8,1.0,1.0,4.0,1.0,1.0,1.0,1993,12,26,42.0,2015-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"11165,7d4a203aa1e76c078f35fca9160e06e710206961,2.0,1.0,3.0,1.0,1.0,1.0,1998,5,2,41.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
